time,OKtime,date
2024_01_28__03_55_28,2433328,0.32511
2024_01_28__03_55_29,2433329,0.325282
2024_01_28__03_55_30,2433330,0.325282
2024_01_28__03_55_31,2433331,0.735151
2024_01_28__03_55_32,2433332,0.702658
2024_01_28__03_55_33,2433333,2.05382
2024_01_28__03_55_34,2433334,2.04539
2024_01_28__03_55_35,2433335,12.1135
2024_01_28__03_55_36,2433336,12.1133
2024_01_28__03_55_37,2433337,12.1131
2024_01_28__03_55_38,2433338,0.703689
2024_01_28__03_55_39,2433339,12.1121
2024_01_28__03_55_40,2433340,0.717099
2024_01_28__03_55_41,2433341,0.697328
2024_01_28__03_55_42,2433342,0.698359
2024_01_28__03_55_43,2433343,0.71091
2024_01_28__03_55_44,2433344,0.681855
2024_01_28__03_55_45,2433345,0.690107
2024_01_28__03_55_46,2433346,0.688216
2024_01_28__03_55_47,2433347,0.689247
2024_01_28__03_55_48,2433348,0.554286
2024_01_28__03_55_49,2433349,0.383393
2024_01_28__03_55_50,2433350,12.113
2024_01_28__03_55_51,2433351,0.32511
2024_01_28__03_55_52,2433352,0.693889
2024_01_28__03_55_53,2433353,12.1128
2024_01_28__03_55_54,2433354,12.1131
2024_01_28__03_55_55,2433355,12.1133
2024_01_28__03_55_56,2433356,2.04453
2024_01_28__03_55_57,2433357,12.113
2024_01_28__03_55_58,2433358,0.712629
2024_01_28__03_55_59,2433359,12.1126
2024_01_28__03_56_00,2433360,12.1133
2024_01_28__03_56_01,2433361,0.695609
2024_01_28__03_56_02,2433362,0.703689
2024_01_28__03_56_03,2433363,12.1125
2024_01_28__03_56_04,2433364,2.08356
2024_01_28__03_56_05,2433365,0.291241
2024_01_28__03_56_06,2433366,0.325282
2024_01_28__03_56_07,2433367,0.325282
2024_01_28__03_56_10,2433370,0.325282
2024_01_28__03_56_10,2433370,0.32511
2024_01_28__03_56_10,2433370,0.325282
2024_01_28__03_56_11,2433371,0.32511
2024_01_28__03_56_12,2433372,0.325282
2024_01_28__03_56_13,2433373,0.32511
2024_01_28__03_56_14,2433374,0.325282
2024_01_28__03_56_15,2433375,0.325282
2024_01_28__03_56_16,2433376,0.325282
2024_01_28__03_56_17,2433377,0.32511
2024_01_28__03_56_18,2433378,0.32511
2024_01_28__03_56_19,2433379,0.382017
2024_01_28__03_56_20,2433380,0.32511
2024_01_28__03_56_21,2433381,0.32511
2024_01_28__03_56_22,2433382,0.32511
2024_01_28__03_56_23,2433383,0.32511
2024_01_28__03_56_24,2433384,0.338176
2024_01_28__03_56_25,2433385,0.32511
2024_01_28__03_56_26,2433386,0.325282
2024_01_28__03_56_27,2433387,0.325282
2024_01_28__03_56_28,2433388,0.32511
2024_01_28__03_56_29,2433389,0.338348
2024_01_28__03_56_30,2433390,0.325282
2024_01_28__03_56_31,2433391,0.32511
2024_01_28__03_56_32,2433392,0.32511
2024_01_28__03_56_33,2433393,0.32511
2024_01_28__03_56_34,2433394,0.32511
2024_01_28__03_56_35,2433395,0.32511
2024_01_28__03_56_36,2433396,0.32511
2024_01_28__03_56_37,2433397,0.32511
2024_01_28__03_56_38,2433398,0.32511
2024_01_28__03_56_39,2433399,0.32511
2024_01_28__03_56_40,2433400,0.32511
2024_01_28__03_56_41,2433401,0.325282
2024_01_28__03_56_42,2433402,0.32511
2024_01_28__03_56_43,2433403,0.32511
2024_01_28__03_56_44,2433404,0.32511
2024_01_28__03_56_45,2433405,0.32511
2024_01_28__03_56_46,2433406,0.338176
2024_01_28__03_56_47,2433407,0.338176
2024_01_28__03_56_48,2433408,0.32511
2024_01_28__03_56_49,2433409,0.32511
2024_01_28__03_56_50,2433410,0.32511
2024_01_28__03_56_51,2433411,12.1109
2024_01_28__03_56_52,2433412,12.1099
2024_01_28__03_56_53,2433413,12.1094
2024_01_28__03_56_54,2433414,12.1097
2024_01_28__03_56_55,2433415,12.1095
2024_01_28__03_56_56,2433416,0.541048
2024_01_28__03_56_57,2433417,0.557209
2024_01_28__03_56_58,2433418,0.371874
2024_01_28__03_56_59,2433419,0.685981
2024_01_28__03_57_00,2433420,0.700079
2024_01_28__03_57_01,2433421,0.699219
2024_01_28__03_57_02,2433422,0.360355
2024_01_28__03_57_03,2433423,0.360355
2024_01_28__03_57_04,2433424,0.350899
2024_01_28__03_57_05,2433425,12.1104
2024_01_28__03_57_06,2433426,0.555834
2024_01_28__03_57_07,2433427,0.350899
2024_01_28__03_57_08,2433428,0.350899
2024_01_28__03_57_09,2433429,2.01926
2024_01_28__03_57_10,2433430,0.355713
2024_01_28__03_57_11,2433431,0.735151
2024_01_28__03_57_12,2433432,0.692858
2024_01_28__03_57_13,2433433,0.355713
2024_01_28__03_57_14,2433434,0.371874
2024_01_28__03_57_15,2433435,0.663287
2024_01_28__03_57_16,2433436,0.667585
2024_01_28__03_57_17,2433437,0.667585
2024_01_28__03_57_18,2433438,0.301556
2024_01_28__03_57_19,2433439,0.248604
2024_01_28__03_57_24,2433444,0.242758
2024_01_28__03_57_29,2433449,0.242758
2024_01_28__03_57_34,2433454,0.251526
2024_01_28__03_57_35,2433455,0.242758
2024_01_28__03_57_40,2433460,0.242758
2024_01_28__03_57_45,2433465,0.280582
2024_01_28__03_57_46,2433466,0.242758
2024_01_28__03_57_51,2433471,0.28849
2024_01_28__03_57_52,2433472,2.02837
2024_01_28__03_57_53,2433473,0.269063
2024_01_28__03_57_54,2433474,0.677556
2024_01_28__03_57_55,2433475,0.69664
2024_01_28__03_57_56,2433476,0.367232
2024_01_28__03_57_57,2433477,0.312044
2024_01_28__03_57_58,2433478,0.312044
2024_01_28__03_57_59,2433479,0.32511
2024_01_28__03_58_00,2433480,0.312216
2024_01_28__03_58_01,2433481,0.32511
2024_01_28__03_58_02,2433482,0.32511
2024_01_28__03_58_03,2433483,0.325282
2024_01_28__03_58_05,2433485,0.325282
2024_01_28__03_58_05,2433485,0.32511
2024_01_28__03_58_06,2433486,0.32511
2024_01_28__03_58_07,2433487,0.325282
2024_01_28__03_58_09,2433489,0.32511
2024_01_28__03_58_10,2433490,0.325282
2024_01_28__03_58_11,2433491,0.325282
2024_01_28__03_58_12,2433492,0.32511
2024_01_28__03_58_13,2433493,0.32511
2024_01_28__03_58_14,2433494,0.32511
2024_01_28__03_58_15,2433495,0.32511
2024_01_28__03_58_16,2433496,0.32511
2024_01_28__03_58_17,2433497,0.32511
2024_01_28__03_58_18,2433498,0.32511
2024_01_28__03_58_19,2433499,0.32511
2024_01_28__03_58_20,2433500,0.555834
